ranking,name,age,weight,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
,Benoit Saint-Denis,27,155,1.8,2,1,0,0,10,1,0,1
,Natan Levy,31,155,1.75,2,1,0,0,8,1,0,0
,Viacheslav Borshchev,31,155,1.8,2,2,0,0,7,3,0,0
,Genaro Valdez,31,155,1.75,0,2,0,0,10,2,0,0
,Nikolas Motta,30,155,1.75,1,1,0,0,13,4,0,0
,Trey Ogden,33,155,1.8,1,2,0,0,16,6,0,0
,Evan Elder,26,155,1.78,0,2,0,0,7,2,0,0
,Manuel Torres,28,155,1.78,1,0,0,0,13,2,0,0
,Hayisaer Maheshate,23,155,1.83,1,2,0,0,9,3,0,0
,Gabriel Miranda,33,155,1.8,0,1,0,0,16,6,0,0
,Michal Figlak,26,155,1.78,0,1,0,0,8,1,0,0
,Daniel Zellhuber,23,155,1.85,1,1,0,0,13,1,0,0
,Mateusz Rebecki,30,155,1.7,1,0,0,0,17,1,0,0
,Ismael Bonfim,27,155,1.73,1,0,0,0,19,3,0,0
,Melquizael Costa,26,155,1.78,0,1,0,0,19,6,0,0
,Anshul Jubli,28,155,1.83,1,0,0,0,7,0,0,0
,Jeka Saragih,28,155,1.73,0,1,0,0,13,3,0,0
,Elves Brenner,25,155,1.78,1,0,0,0,14,3,0,0
,Francisco Prado,20,155,1.78,0,1,0,0,11,1,0,0
,Nazim Sadykhov,29,155,1.78,1,0,0,0,8,1,0,0
,Nurullo Aliev,23,155,1.78,1,0,0,0,8,0,0,0
,Carl Deaton III,33,155,1.68,0,1,0,0,17,6,0,0
,Victor Martinez,31,155,1.73,0,1,0,0,13,5,0,0
,Trevor Peek,28,155,1.75,1,0,0,0,8,0,0,1
,Esteban Ribovics,27,155,1.78,0,1,0,0,11,1,0,0
,Loik Radzhabov,32,155,1.8,1,0,0,0,17,4,0,0
,Sam Patterson,27,155,1.91,0,1,0,0,10,2,1,0
,Yanal Ashmouz,28,155,1.75,1,0,0,0,8,0,0,0
,Chris Duncan,30,155,1.78,1,0,0,0,10,1,0,0
,Muhammad Naimov,28,155,1.75,1,0,0,0,9,2,0,0
,Jesse Butler,31,155,1.78,0,1,0,0,12,5,0,0
,Darren Elkins,39,145,1.78,17,10,0,0,27,11,0,0
7,Jung Chan-sung,36,145,1.75,7,6,0,0,17,7,0,0
14,Edson Barboza,37,145,1.8,17,11,0,0,23,11,0,0
15,Alex Caceres,34,145,1.78,16,11,0,1,21,13,0,1
2,Max Holloway,31,145,1.8,20,7,0,0,24,7,0,0
,Daniel Pineda,37,145,1.7,5,6,0,1,28,15,0,1
,Andre Fili,32,145,1.8,10,8,0,1,22,9,0,1
3,Brian Ortega,32,145,1.73,7,3,0,1,15,3,0,1
,Damon Jackson,34,145,1.8,5,3,1,1,22,5,1,1
,Charles Rosa,36,145,1.75,5,8,0,0,14,8,0,0
1,Yair Rodriguez,30,145,1.8,10,2,0,1,15,3,0,1
,Choi Doo-ho,32,145,1.78,3,3,1,0,14,4,1,0
4,Arnold Allen,29,145,1.73,10,1,0,0,19,2,0,0
,Ryan Hall,38,145,1.78,5,1,0,0,9,2,0,0
5,Josh Emmett,38,145,1.7,9,3,0,0,18,3,0,0
0,Alexander Volkanovski,34,145,1.68,12,1,0,0,25,2,0,0
,Ricardo Ramos,27,145,1.75,7,3,0,0,16,4,0,0
,Gavin Tucker,36,145,1.7,4,2,0,0,13,2,0,0
,Danny Henry,34,145,1.8,2,2,0,0,12,4,0,0
6,Calvin Kattar,35,145,1.8,7,4,0,0,23,6,0,0
,Shane Young,29,145,1.73,2,4,0,0,13,7,0,0
13,Dan Ige,31,145,1.7,9,5,0,0,17,6,0,0
,Hakeem Dawodu,31,145,1.73,6,3,0,0,13,3,1,0
,Nathaniel Wood,29,145,1.68,6,2,0,0,19,5,0,0
11,Bryce Mitchell,28,145,1.78,6,1,0,0,15,1,0,0
,Julian Erosa,33,145,1.85,6,7,0,0,28,11,0,0
,Kevin Aguilar,34,145,1.7,2,4,0,0,17,5,0,0
12,Sodiq Yusuff,30,145,1.75,6,1,0,0,13,2,0,0
,Kyle Nelson,32,145,1.8,2,5,1,0,14,5,1,0
,Kron Gracie,34,145,1.75,1,2,0,0,5,2,0,0
10,Movsar Evloev,30,145,1.73,7,0,0,0,17,0,0,0
,Seung Woo Choi,30,145,1.8,3,5,0,0,10,6,0,0
,Charles Jourdain,27,145,1.75,5,5,1,0,14,6,1,0
,Lerone Murphy,31,145,1.78,4,0,1,0,12,0,1,0
,Jack Shore,28,145,1.75,6,1,0,0,17,1,0,0
8,Giga Chikadze,34,145,1.83,7,1,0,0,14,3,0,0
,Sean Woodson,31,145,1.88,3,1,1,0,9,1,1,0
,Jonathan Pearce,31,145,1.8,5,1,0,0,14,4,0,0
,Billy Quarantillo,34,145,1.78,5,3,0,0,17,5,0,0
,Herbert Burns,35,145,1.75,2,2,0,0,11,4,0,0
,Nate Landwehr,35,145,1.75,4,3,0,0,17,5,0,0
,Austin Lingo,25,145,1.78,2,2,0,0,9,2,0,0
,Joshua Culibao,29,145,1.75,3,1,1,0,11,1,1,0
,TJ Brown,33,145,1.75,3,4,0,0,17,10,0,0
,Steve Garcia,31,145,1.83,3,2,0,0,14,5,0,0
,Jamall Emmers,33,145,1.78,2,2,0,0,19,6,0,0
,Bill Algeo,34,145,1.8,4,3,0,0,17,7,0,0
9,Ilia Topuria,26,145,1.7,5,0,0,0,13,0,0,0
,Luis Saldana,32,145,1.8,2,1,1,0,16,7,1,0
,Pat Sabatini,32,145,1.73,4,1,0,0,17,4,0,0
,Tucker Lutz,28,145,1.73,1,2,0,0,12,3,0,0
,Shayilan Nuerdanbieke,29,145,1.73,3,2,0,0,39,11,0,0
,Kamuela Kirk,29,145,1.78,1,1,0,0,12,5,0,0
,Melsik Baghdasaryan,31,145,1.75,2,1,0,0,7,2,0,0
,David Onama,29,145,1.8,2,2,0,0,10,2,0,0
,Joanderson Brito,28,145,1.73,2,1,0,0,14,3,1,0
,Daniel Argueta,29,145,1.7,1,1,0,0,9,1,0,0
,Lucas Almeida,32,145,1.8,1,0,0,0,14,1,0,0
,Garrett Armfield,26,145,1.7,0,1,0,0,8,3,0,0
,William Gomis,25,145,1.83,2,0,0,0,12,2,0,0
,Jarno Errens,28,145,1.8,0,1,0,0,13,4,1,0
,Lucas Alexander,27,145,1.8,1,1,0,0,8,3,0,0
,Francis Marshall,24,145,1.75,1,1,0,0,7,1,0,0
,Erik Silva,36,145,1.75,0,1,0,0,9,2,0,0
,Nick Aguirre,27,145,1.75,0,1,0,0,7,1,0,0
,Lee Jeong-young,27,145,1.78,1,0,0,0,10,1,0,0
,Blake Bilder,32,145,1.73,1,1,0,0,8,1,1,0
,Jack Jenkins,30,145,1.7,1,0,0,0,11,2,0,0
,Khusein Askhabov,28,145,1.73,0,1,0,0,23,1,0,0
,Gabriel Santos,26,145,1.75,0,1,0,0,10,1,0,0
,Fernando Padilla,26,145,1.85,1,0,0,0,15,4,0,0
,Diego Lopes,28,145,1.8,0,1,0,0,21,6,0,0
,Cub Swanson,39,135,1.7,18,12,0,0,28,13,0,0
,Rani Yahya,38,135,1.68,17,8,1,1,28,11,1,1
9,Dominick Cruz,38,135,1.73,14,4,0,0,24,4,0,0
,Kang Kyung-ho,35,135,1.75,7,3,0,1,18,9,0,1
,Davey Grant,37,135,1.73,6,5,0,0,15,6,0,0
,Douglas Silva de Andrade,37,135,1.7,7,5,0,0,29,5,0,1
0,Aljamain Sterling,33,135,1.7,15,3,0,0,23,3,0,0
10,Pedro Munhoz,36,135,1.68,10,7,0,2,20,7,0,2
7,Rob Font,35,135,1.73,10,5,0,0,20,6,0,0
,Frankie Saenz,42,135,1.68,5,5,0,0,13,7,0,0
6,Marlon Vera,30,135,1.73,14,7,0,0,22,8,1,0
3,Henry Cejudo,36,135,1.63,10,3,0,0,16,3,0,0
,Cody Garbrandt,31,135,1.7,8,5,0,0,13,5,0,0
,Aiemann Zahabi,35,135,1.73,4,2,0,0,10,2,0,0
,Brian Kelleher,36,135,1.68,8,7,0,0,24,14,0,0
,Cody Stamann,33,135,1.68,7,5,1,0,21,6,1,0
8,Song Yadong,25,135,1.68,9,2,1,0,20,7,1,1
2,Sean O'Malley,28,135,1.8,8,1,0,1,16,1,0,1
1,Merab Dvalishvili,32,135,1.68,9,2,0,0,16,4,0,0
,Julio Arce,33,135,1.7,5,4,0,0,18,6,0,0
4,Cory Sandhagen,31,135,1.8,9,3,0,0,16,4,0,0
12,Ricky Simon,30,135,1.68,8,3,0,0,20,4,0,0
,Raoni Barcelos,36,135,1.7,6,3,0,0,17,4,0,0
5,Petr Yan,30,135,1.7,8,4,0,0,16,5,0,0
,Said Nurmagomedov,31,135,1.73,6,2,0,0,17,3,0,0
,Liu Pingyuan,30,135,1.68,2,2,0,0,15,6,0,0
,Montel Jackson,31,135,1.78,7,2,0,0,13,2,0,0
15,Jonathan Martinez,29,135,1.7,9,3,0,0,18,4,0,0
